epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,73.0022,1.02038,0.66882,1.05356,0.99517,0.88889,0.88535,0.75973,0.65809,0.46798,0.87554,0.0015941,0.0015941,0.0015941
43,74.6645,1.06543,0.68767,1.07781,0.99523,0.88889,0.88535,0.72142,0.73221,0.49521,0.87884,0.0015842,0.0015842,0.0015842
44,76.3187,1.09912,0.7032,1.09859,0.99565,0.88889,0.88535,0.72643,0.71489,0.5191,0.87694,0.0015743,0.0015743,0.0015743
45,78.2432,1.00439,0.6646,0.99428,0.99475,0.88889,0.88535,0.71786,0.72592,0.52863,0.8834,0.0015644,0.0015644,0.0015644
46,79.9127,1.08251,0.66774,1.08601,0.9947,0.88889,0.88535,0.74316,0.76502,0.5661,0.89281,0.0015545,0.0015545,0.0015545
47,81.6471,0.98742,0.62901,1.01864,0.99612,0.88889,0.88625,0.76872,0.66905,0.50183,0.86058,0.0015446,0.0015446,0.0015446
48,83.3443,1.11954,0.68983,1.09467,0.99596,0.88889,0.88535,0.7461,0.71297,0.54645,0.87543,0.0015347,0.0015347,0.0015347
49,86.5541,1.03229,0.66011,1.06192,0.99607,0.88889,0.88607,0.74539,0.73105,0.53709,0.88572,0.0015248,0.0015248,0.0015248
50,88.2164,1.07708,0.67549,1.07117,0.99576,0.88889,0.88541,0.73936,0.66785,0.49072,0.8852,0.0015149,0.0015149,0.0015149
51,90.0451,1.05976,0.68304,1.0941,0.99593,0.88889,0.88542,0.72597,0.70341,0.53837,0.89112,0.001505,0.001505,0.001505
52,91.6824,0.97665,0.61393,1.04878,0.99704,0.88889,0.88549,0.70289,0.78134,0.49029,0.91057,0.0014951,0.0014951,0.0014951
53,93.33,1.00802,0.64629,1.06489,0.99706,0.88889,0.88552,0.68703,0.91521,0.50728,0.93939,0.0014852,0.0014852,0.0014852
54,95.138,0.95968,0.59729,1.04761,0.99642,0.88889,0.88552,0.70633,0.74719,0.48349,0.88984,0.0014753,0.0014753,0.0014753
55,96.8594,1.01054,0.6303,1.05786,0.99684,0.88889,0.88556,0.76491,0.60303,0.4779,0.85361,0.0014654,0.0014654,0.0014654
56,98.5435,1.03731,0.6165,1.03191,0.99631,0.88889,0.88565,0.73151,0.68793,0.48099,0.86999,0.0014555,0.0014555,0.0014555
57,100.087,1.06821,0.64474,1.07353,0.99641,0.88889,0.8857,0.7338,0.77204,0.50617,0.89627,0.0014456,0.0014456,0.0014456
58,101.763,1.04325,0.6468,1.04853,0.9961,0.88889,0.88606,0.73468,0.77465,0.49986,0.89801,0.0014357,0.0014357,0.0014357
59,103.386,1.02567,0.60972,1.05165,0.99677,0.88889,0.88628,0.75911,0.71858,0.45904,0.88345,0.0014258,0.0014258,0.0014258
